cow_lactation_id,cow_id,herd_id,parity_prior_lactation,n_scc_records_previous_lactation,dry_off_scc_missing,dry_off_clinical_mastitis_within_7d,dry_off_imi_status_paper_rule,calving_interval_days,lactation_length_days,month_of_dry_off,month_of_calving,first_scc_prev_lactation_cells_ml,median_scc_prev_lactation_cells_ml,mean_scc_prev_lactation_cells_ml,min_scc_prev_lactation_cells_ml,max_scc_prev_lactation_cells_ml,mean_first3_scc_prev_lactation_cells_ml,mean_last3_scc_prev_lactation_cells_ml,ratio_last3_to_first3_scc,last_scc_prev_lactation_cells_ml,consecutive_3_scc_gt_200k_prev_lactation,pct_scc_lt_50k_prev_lactation,pct_scc_gt_100k_prev_lactation,pct_scc_gt_200k_prev_lactation,pct_scc_gt_400k_prev_lactation,pct_scc_gt_1000k_prev_lactation,peak_yield_prev_lactation_kg,yield_at_last_recording_kg,herd_new_dry_period_imi_6mo_rate,herd_new_dry_period_imi_year_rate,herd_mean_scc_k_cells_ml,herd_predicted_305d_yield_l,post_calving_sample_day,post_calving_scc_cells_ml,post_calving_scc_threshold_used_cells_ml,clinical_mastitis_within_30d_post_calving,raised_scc_post_calving_paper_rule,normal_scc_post_calving_paper_rule
CL-03510,COW-01755,HERD-052,2,9,0,0,0,409,304,2,5,100825,156021,290739,70324,1405508,567099,129870,0.229,156021,0,0,88.9,22.2,11.1,11.1,38.78,24.59,0.152,0.145,237.8,8897,11,94284,200000,0,0,1
CL-03511,COW-01756,HERD-084,2,12,0,0,0,333,257,4,6,31185,60471,64969,31185,126401,52222,74549,1.428,62544,0,25,8.3,0,0,0,44.79,35.29,0.091,0.099,272,9088,11,83104,200000,0,0,1
CL-03512,COW-01756,HERD-051,3,11,0,0,0,448,291,2,5,31192,64561,84849,6921,340293,34440,162964,4.732,84038,0,36.4,18.2,9.1,0,0,48.15,35.5,0.112,0.117,238.8,6737,13,71733,200000,1,1,0
CL-03513,COW-01757,HERD-064,1,9,0,0,1,374,236,10,1,159604,159604,220496,72714,561110,264476,164944,0.624,208491,0,0,77.8,44.4,11.1,0,42.21,25.93,0.13,0.136,80,6610,21,45141,200000,0,0,1
CL-03514,COW-01757,HERD-055,1,9,0,0,1,390,248,9,11,173892,180150,202222,54093,467527,200978,243198,1.21,207975,0,0,77.8,44.4,11.1,0,32.58,23.55,0.108,0.093,168,11374,18,132521,200000,0,0,1
CL-03515,COW-01758,HERD-016,1,8,0,0,1,440,304,3,6,88271,65053,79606,33122,203212,63205,108281,1.713,203212,0,25,12.5,12.5,0,0,37.61,18.27,0.143,0.131,200.6,9678,4,412114,400000,0,1,0
CL-03516,COW-01758,HERD-001,3,11,0,0,0,394,336,8,10,42548,46591,59329,11807,132129,49128,62120,1.264,102936,0,54.5,18.2,0,0,0,49.9,36.74,0.125,0.113,238,7936,10,70628,200000,0,0,1
CL-03517,COW-01759,HERD-043,2,7,0,0,0,419,295,5,8,131170,73084,90501,41869,151614,88692,108520,1.224,151614,0,14.3,42.9,0,0,0,42.34,22.97,0.209,0.192,357,9647,14,97972,200000,0,0,1
CL-03518,COW-01759,HERD-052,4,11,0,0,0,445,351,7,10,39313,39313,39605,15554,58329,35136,43847,1.248,22492,0,63.6,0,0,0,0,40.42,22.4,0.152,0.145,237.8,8897,21,292018,200000,0,1,0
CL-03519,COW-01760,HERD-026,5,10,0,0,1,409,339,5,8,134550,143387,177514,73485,399440,138856,167609,1.207,215683,0,0,90,30,0,0,36.84,26.88,0.143,0.134,164.8,7741,5,1020978,200000,0,1,0
CL-03520,COW-01760,HERD-005,2,9,0,0,0,389,297,8,11,126567,126567,130530,52880,264393,177534,107307,0.604,85021,0,0,66.7,11.1,0,0,27.41,21.08,0.147,0.138,189.6,11475,12,14510,200000,0,0,1
CL-03521,COW-01761,HERD-003,2,9,0,0,0,393,320,8,10,55069,55069,73043,44658,140030,51273,77421,1.51,44658,0,22.2,22.2,0,0,0,39.29,24.61,0.209,0.207,189.6,9591,13,40719,200000,0,0,1
CL-03522,COW-01761,HERD-031,3,10,0,0,0,394,335,6,9,70788,76506,88097,32165,232545,46950,88467,1.884,64320,0,20,20,10,0,0,47.1,42,0.184,0.158,237.1,8010,21,42247,200000,0,0,1
CL-03523,COW-01762,HERD-019,2,9,0,0,0,388,274,6,8,15936,30907,35145,13561,74814,27453,37814,1.377,30907,0,77.8,0,0,0,0,44.4,35.21,0.125,0.128,141.7,11572,8,30816,200000,0,0,1
CL-03524,COW-01762,HERD-076,2,8,0,0,1,432,351,10,12,122930,650091,846683,122930,1975266,933206,964823,1.034,916320,1,0,100,87.5,87.5,25,36.64,23.87,0.222,0.182,179.2,8798,4,346677,400000,0,0,1
CL-03525,COW-01763,HERD-068,4,8,0,0,1,427,397,5,7,243437,237475,246080,104928,491534,279966,245457,0.877,244489,0,0,100,62.5,12.5,0,41.7,28.41,0.211,0.193,140.3,10726,25,162804,200000,0,0,1
CL-03526,COW-01763,HERD-024,5,9,0,0,0,404,360,2,4,64549,64549,62958,13039,119562,62891,57066,0.907,38597,0,33.3,11.1,0,0,0,52.63,34.78,0.253,0.237,162.9,11120,18,240287,200000,0,1,0
CL-03527,COW-01764,HERD-076,1,8,0,0,0,447,352,1,4,32296,38369,37303,11659,75051,39669,27692,0.698,44441,0,75,0,0,0,0,33.61,19.31,0.222,0.182,179.2,8798,17,59560,200000,0,0,1
CL-03528,COW-01764,HERD-060,2,10,0,0,0,485,321,1,4,69100,48751,52787,13554,98482,55534,43734,0.788,24279,0,50,0,0,0,0,45.16,19.29,0.16,0.169,222.6,10364,8,99978,200000,0,0,1
CL-03529,COW-01765,HERD-071,3,8,0,0,1,373,257,11,1,190768,238256,255924,170662,398940,193784,282633,1.458,278298,0,0,100,50,0,0,43.47,24.7,0.23,0.221,174.4,10029,1,148158,400000,0,0,1
CL-03530,COW-01765,HERD-053,2,10,0,0,0,352,321,3,5,82157,80561,82830,15557,180877,104358,84229,0.807,120193,0,20,20,0,0,0,38.68,29.26,0.218,0.197,263.2,5347,10,34167,200000,0,0,1
CL-03531,COW-01766,HERD-067,5,10,1,0,0,438,343,10,12,345080,770145,854490,343504,1678955,889633,805862,0.906,,1,0,100,100,80,30,41.29,28.86,0.142,0.139,204.7,5000,1,988063,400000,0,1,0
CL-03532,COW-01766,HERD-066,1,10,0,0,0,380,262,6,8,43867,40586,42765,18464,83027,36492,42386,1.162,68695,0,80,0,0,0,0,28.83,16.03,0.092,0.142,272.4,10891,14,55505,200000,0,0,1
CL-03533,COW-01767,HERD-055,1,9,0,0,0,423,285,4,7,94312,29704,43499,16924,103230,50263,29507,0.587,43534,0,77.8,11.1,0,0,0,35.38,23.31,0.108,0.093,168,11374,16,194725,200000,0,0,1
CL-03534,COW-01767,HERD-068,2,13,0,0,0,358,329,7,9,30930,44831,51379,19495,104244,57165,56138,0.982,76974,0,53.8,7.7,0,0,0,30.22,23.17,0.211,0.193,140.3,10726,16,39508,200000,0,0,1
CL-03535,COW-01768,HERD-031,2,7,0,0,1,396,275,2,4,64041,418294,349572,64041,554575,329411,432616,1.313,429455,1,0,85.7,71.4,57.1,0,48.29,31.17,0.184,0.158,237.1,8010,7,197730,200000,0,0,1
CL-03536,COW-01768,HERD-056,4,10,0,0,0,304,313,10,1,45391,79226,75786,34977,119022,79681,73516,0.923,75012,0,30,30,0,0,0,39.72,25.83,0.147,0.148,231.1,10045,16,66544,200000,0,0,1
CL-03537,COW-01769,HERD-016,4,9,0,0,0,366,286,8,10,26261,36696,42284,18312,97669,38449,50892,1.324,36696,0,77.8,0,0,0,0,45.69,33.68,0.143,0.131,200.6,9678,17,53363,200000,0,0,1
CL-03538,COW-01769,HERD-060,4,11,0,0,1,435,331,4,6,44183,148960,167664,44183,352316,113707,239315,2.105,274030,0,9.1,63.6,27.3,0,0,41.3,27.4,0.16,0.169,222.6,10364,6,1009346,200000,0,1,0
CL-03539,COW-01770,HERD-043,1,9,0,0,0,377,280,8,10,42145,32828,30788,19322,42145,37496,27703,0.739,24792,0,100,0,0,0,0,34.93,26.33,0.209,0.192,357,9647,11,112248,200000,0,0,1
CL-03540,COW-01770,HERD-060,2,8,0,0,1,343,323,9,12,93880,154130,153849,76874,286861,91491,206526,2.257,286861,0,0,75,12.5,0,0,46.01,24.02,0.16,0.169,222.6,10364,14,42085,200000,0,0,1
CL-03541,COW-01771,HERD-042,1,10,0,0,0,316,304,10,12,57758,29790,33702,13167,57758,34645,21032,0.607,23049,0,70,0,0,0,0,27.25,10.26,0.176,0.156,243.8,9700,19,32155,200000,0,0,1
CL-03542,COW-01771,HERD-068,1,8,1,1,1,370,302,7,9,86183,68533,63244,11727,101293,86400,43385,0.502,,0,25,12.5,0,0,0,42.01,17.73,0.211,0.193,140.3,10726,12,53397,200000,0,0,1
CL-03543,COW-01772,HERD-016,4,10,0,0,0,395,365,6,9,11871,20318,25653,11871,77884,20872,40720,1.951,77884,0,90,0,0,0,0,34.56,16.9,0.143,0.131,200.6,9678,7,101130,200000,0,0,1
CL-03544,COW-01772,HERD-065,5,7,0,0,0,499,295,3,6,41398,83667,72663,23889,111137,78734,70468,0.895,98161,0,28.6,14.3,0,0,0,44.45,28.33,0.145,0.132,159.4,9309,10,110846,200000,0,0,1
CL-03545,COW-01773,HERD-010,4,9,0,0,0,453,311,6,8,244991,169752,186769,61710,401595,186254,162340,0.872,103820,0,0,77.8,33.3,11.1,0,39.96,26.31,0.193,0.186,263.5,9745,5,259438,200000,0,1,0
CL-03546,COW-01773,HERD-005,1,11,0,0,1,377,270,9,12,2618527,1188870,1232839,544286,2618527,1641729,1140653,0.695,1611271,1,0,100,100,100,63.6,31.76,23.85,0.147,0.138,189.6,11475,13,103006,200000,0,0,1
CL-03547,COW-01774,HERD-069,2,8,0,0,1,400,278,7,10,259029,315028,455511,237553,1252055,373970,651502,1.742,368192,1,0,100,100,25,12.5,41.82,27.38,0.169,0.193,185.3,7911,12,47713,200000,0,0,1
CL-03548,COW-01774,HERD-040,2,9,0,0,0,366,378,1,4,98252,98252,117284,34837,210116,118291,74735,0.632,96495,0,11.1,44.4,11.1,0,0,39.19,26.67,0.149,0.164,210.1,10693,13,50720,200000,0,0,1
CL-03549,COW-01775,HERD-040,4,10,0,0,0,400,285,11,1,46202,83027,101956,46202,219563,84852,106368,1.254,162933,0,10,40,10,0,0,42.9,27.57,0.149,0.164,210.1,10693,7,33965,200000,0,0,1
CL-03550,COW-01775,HERD-029,3,8,0,0,0,404,281,8,10,114847,45284,50201,12588,114847,56568,52004,0.919,42346,0,75,12.5,0,0,0,40.03,24.98,0.112,0.124,216.7,11066,16,23518,200000,0,0,1
CL-03551,COW-01776,HERD-072,2,7,0,0,0,327,358,12,2,440981,109675,166973,64057,440981,214809,100039,0.466,64057,0,0,57.1,28.6,14.3,0,35.59,21.13,0.191,0.164,259,11562,5,55994,200000,0,0,1
CL-03552,COW-01776,HERD-034,4,10,0,0,0,461,307,9,12,60632,78570,91585,56446,169584,84056,84423,1.004,87423,0,0,30,0,0,0,45.54,29.44,0.222,0.2,251.6,9074,9,134185,200000,0,0,1
CL-03553,COW-01777,HERD-069,2,10,0,0,0,410,242,10,12,27644,38299,47442,27644,102219,33329,40732,1.222,33270,0,70,10,0,0,0,33.35,21.66,0.169,0.193,185.3,7911,10,168459,200000,0,0,1
CL-03554,COW-01777,HERD-078,3,7,0,0,0,422,272,3,5,24396,37677,54179,20364,177315,40675,73184,1.799,20364,0,71.4,14.3,0,0,0,45.25,32.88,0.158,0.178,209.2,10363,19,35884,200000,0,0,1
CL-03555,COW-01778,HERD-016,3,8,0,0,0,401,293,6,9,56899,94110,93391,25882,154441,84506,104428,1.236,143242,0,37.5,50,0,0,0,42.2,29.95,0.143,0.131,200.6,9678,1,340315,400000,0,0,1
CL-03556,COW-01778,HERD-023,4,8,0,0,1,416,314,4,7,140757,303078,492049,140757,1695981,275663,904654,3.282,1695981,1,0,100,62.5,37.5,12.5,47.43,29.48,0.171,0.161,238.4,8354,22,96794,200000,0,0,1
CL-03557,COW-01779,HERD-018,5,10,0,0,1,450,320,6,8,157436,151814,199514,64296,710800,143428,368081,2.566,710800,0,0,90,20,10,0,33.35,20.75,0.137,0.16,176.4,12385,22,44897,200000,0,0,1
CL-03558,COW-01779,HERD-078,1,8,0,0,0,397,357,2,4,13090,33785,36854,13090,82419,18314,40843,2.23,32623,0,87.5,0,0,0,0,25.47,13.7,0.158,0.178,209.2,10363,15,37063,200000,0,0,1
CL-03559,COW-01780,HERD-001,1,14,1,0,0,407,281,3,6,26243,85309,141242,24224,529899,71597,194627,2.718,,0,21.4,42.9,21.4,7.1,0,37.36,29.53,0.125,0.113,238,7936,10,172018,200000,0,0,1
CL-03560,COW-01780,HERD-049,1,8,0,0,0,441,271,5,8,37964,24774,30700,10479,68674,49528,19296,0.39,10479,0,87.5,0,0,0,0,30.38,20.44,0.153,0.163,155.7,11683,8,73940,200000,0,0,1
CL-03561,COW-01781,HERD-063,1,12,0,0,0,402,271,12,2,41367,66247,77802,30786,171176,44283,92049,2.079,136090,0,33.3,25,0,0,0,37.48,21.49,0.151,0.169,148.6,10261,8,47346,200000,0,0,1
CL-03562,COW-01781,HERD-004,3,9,0,0,0,419,285,10,1,176203,163483,170346,67099,447490,150096,125181,0.834,67099,0,0,66.7,11.1,11.1,0,32.85,21.01,0.144,0.13,327.3,9167,15,81661,200000,0,0,1
CL-03563,COW-01782,HERD-033,2,9,0,0,0,432,350,4,7,33241,33241,50898,22656,115180,43876,25512,0.581,29032,0,55.6,11.1,0,0,0,42.3,27.97,0.187,0.144,156.7,9366,11,146200,200000,0,0,1
CL-03564,COW-01782,HERD-070,2,12,0,0,0,352,294,8,10,114082,143273,143760,60659,307240,111108,171438,1.543,197787,0,0,66.7,16.7,0,0,41.93,25.88,0.175,0.193,194.9,10809,11,99913,200000,0,0,1
CL-03565,COW-01783,HERD-069,1,11,0,0,0,404,285,7,9,13744,30582,37867,13470,85258,24079,24412,1.014,13470,0,72.7,0,0,0,0,38.46,24.58,0.169,0.193,185.3,7911,10,21789,200000,0,0,1
CL-03566,COW-01783,HERD-053,3,10,0,0,1,300,357,12,3,634082,246861,239457,65547,634082,317608,239567,0.754,269289,1,0,80,60,10,0,34.35,17.41,0.218,0.197,263.2,5347,25,60594,200000,0,0,1
CL-03567,COW-01784,HERD-048,2,7,0,0,0,357,228,12,2,11410,22033,27487,11410,59436,16808,27516,1.637,43150,0,85.7,0,0,0,0,35.28,24.13,0.128,0.134,168.3,9762,15,20824,200000,0,0,1
CL-03568,COW-01784,HERD-039,1,8,0,0,1,412,273,1,3,135008,170566,205175,83985,453864,145557,295829,2.032,246470,0,0,87.5,37.5,12.5,0,29.69,15.04,0.178,0.194,310.9,10052,8,193089,200000,0,0,1
CL-03569,COW-01785,HERD-021,2,9,0,0,0,300,317,9,11,60264,60264,70333,28996,116419,74258,77602,1.045,87390,0,22.2,22.2,0,0,0,50.73,42,0.133,0.137,199.8,8217,20,55893,200000,0,0,1
CL-03570,COW-01785,HERD-048,1,10,0,0,0,338,313,11,2,46508,42050,45855,22800,77195,35184,44365,1.261,41514,0,80,0,0,0,0,42.86,31.03,0.128,0.134,168.3,9762,19,28042,200000,0,0,1
CL-03571,COW-01786,HERD-043,2,7,0,0,0,480,277,9,12,29993,51020,57992,29993,115866,37049,86855,2.344,115866,0,42.9,14.3,0,0,0,34.69,20.83,0.209,0.192,357,9647,9,1176201,200000,0,1,0
CL-03572,COW-01786,HERD-071,3,11,0,0,0,384,306,7,9,56115,90992,112975,31613,330912,78810,92047,1.168,102647,0,9.1,45.5,9.1,0,0,45.37,35.7,0.23,0.221,174.4,10029,19,74572,200000,0,0,1
CL-03573,COW-01787,HERD-037,1,11,0,0,0,431,251,8,10,91162,130819,149469,45636,375814,79266,176273,2.224,166782,0,9.1,72.7,18.2,0,0,34.04,22.95,0.192,0.175,226.4,9926,9,315287,200000,0,1,0
CL-03574,COW-01787,HERD-015,4,7,0,0,1,406,314,11,2,342708,190634,211584,78831,342708,204058,241280,1.182,258769,0,0,85.7,42.9,0,0,44.62,25.52,0.153,0.15,277,11810,13,83353,200000,0,0,1
CL-03575,COW-01788,HERD-029,2,12,0,0,0,465,305,3,5,73717,44007,71877,21139,344093,45417,50192,1.105,78656,0,58.3,8.3,8.3,0,0,29.18,23.62,0.112,0.124,216.7,11066,16,77534,200000,0,0,1
CL-03576,COW-01788,HERD-042,3,7,0,0,0,428,315,10,12,99497,129473,200089,40052,753053,124448,91409,0.735,183903,0,14.3,57.1,14.3,14.3,0,47.37,33.93,0.176,0.156,243.8,9700,12,36056,200000,0,0,1
CL-03577,COW-01789,HERD-026,5,10,0,0,1,384,324,6,8,81253,130767,165712,81253,364236,117371,257156,2.191,322620,0,0,70,20,0,0,50.38,32.04,0.143,0.134,164.8,7741,9,401528,200000,1,1,0
CL-03578,COW-01789,HERD-014,2,10,0,0,0,448,284,10,12,152193,134265,217511,62973,921201,118041,361407,3.062,73661,0,0,60,20,10,0,38.25,27.5,0.104,0.109,287.2,12339,3,535742,400000,0,1,0
CL-03579,COW-01790,HERD-059,5,10,0,0,1,469,339,12,2,163611,321817,553749,155725,2411895,1050543,387448,0.369,642930,1,0,100,80,40,10,37.14,23.8,0.14,0.124,180.1,5461,15,155619,200000,0,0,1
CL-03580,COW-01790,HERD-001,1,7,1,0,0,305,238,8,11,39976,24362,25896,9184,54445,21879,29968,1.37,,0,85.7,0,0,0,0,37.27,25.16,0.125,0.113,238,7936,3,164628,400000,0,0,1
CL-03581,COW-01791,HERD-037,1,10,0,0,0,326,269,4,7,100478,108824,115380,57664,211490,100012,151202,1.512,150957,0,0,70,10,0,0,35.2,22.81,0.192,0.175,226.4,9926,17,773638,200000,0,1,0
CL-03582,COW-01791,HERD-053,2,8,0,0,0,391,328,9,12,58172,30858,41838,17836,95788,34357,35524,1.034,18673,0,62.5,0,0,0,0,51.98,38.56,0.218,0.197,263.2,5347,19,109256,200000,0,0,1
CL-03583,COW-01792,HERD-020,1,8,1,0,0,384,239,9,12,70734,76652,74321,26977,116201,73965,76498,1.034,,0,25,25,0,0,0,35.42,22.62,0.094,0.126,181.6,7702,27,42463,200000,0,0,1
CL-03584,COW-01792,HERD-002,5,10,0,0,1,449,376,7,10,164117,206337,337314,158913,1232349,183943,348249,1.893,511984,1,0,100,50,20,10,38.4,25.49,0.055,0.105,133.7,10327,12,337554,200000,0,1,0
CL-03585,COW-01793,HERD-004,2,8,0,0,0,444,222,2,4,22400,53837,51744,22400,88299,53789,65311,1.214,57007,0,37.5,0,0,0,0,28.45,13.82,0.144,0.13,327.3,9167,16,44689,200000,0,0,1
CL-03586,COW-01793,HERD-072,3,10,1,0,0,453,327,5,7,69309,51546,102538,27249,500712,204593,53474,0.261,,0,50,20,10,10,0,41.47,22.41,0.191,0.164,259,11562,16,121452,200000,0,0,1
CL-03587,COW-01794,HERD-009,2,9,0,0,0,372,336,10,12,20919,38364,40068,20919,78360,36175,48835,1.35,27849,0,88.9,0,0,0,0,41.62,29.68,0.097,0.135,163.1,9631,18,33162,200000,0,0,1
CL-03588,COW-01794,HERD-003,1,8,0,0,0,450,327,10,1,78109,160086,164134,78109,306889,131118,132827,1.013,132618,0,0,75,25,0,0,38.77,24.27,0.209,0.207,189.6,9591,11,119122,200000,0,0,1
CL-03589,COW-01795,HERD-036,1,7,0,0,0,394,319,7,10,58829,104366,107188,58829,178232,129559,96006,0.741,118915,0,0,57.1,0,0,0,42.03,27.37,0.176,0.169,188.5,9939,16,48011,200000,0,0,1
CL-03590,COW-01795,HERD-060,2,10,0,0,0,408,290,8,10,33267,42550,51432,23611,127992,32009,51592,1.612,58144,0,50,10,0,0,0,36.87,18.39,0.16,0.169,222.6,10364,1,1323343,400000,0,1,0
CL-03591,COW-01796,HERD-073,4,8,0,0,1,462,322,5,7,140347,185842,257867,65619,575178,313530,303369,0.968,234890,0,0,87.5,50,25,0,39.95,26.92,0.194,0.198,230.7,12270,15,110351,200000,0,0,1
CL-03592,COW-01796,HERD-052,4,13,0,0,0,444,316,5,7,181852,132286,155953,73172,336515,161915,109963,0.679,109342,0,0,76.9,23.1,0,0,32.61,22.7,0.152,0.145,237.8,8897,15,89763,200000,0,0,1
CL-03593,COW-01797,HERD-008,1,7,0,0,0,384,300,6,8,95492,189958,296649,95492,1083567,438416,180044,0.411,145668,1,0,85.7,42.9,14.3,14.3,38.55,24.25,0.089,0.115,86,12354,12,38898,200000,0,0,1
CL-03594,COW-01797,HERD-056,2,7,0,0,0,378,372,9,11,173417,144523,201618,80954,539201,264524,157745,0.596,128683,0,0,85.7,28.6,14.3,0,41.62,22.68,0.147,0.148,231.1,10045,21,32324,200000,0,0,1
CL-03595,COW-01798,HERD-030,3,10,0,0,0,341,338,12,2,188163,206445,229054,131195,360386,260895,243113,0.932,144225,0,0,100,50,0,0,41.88,29.94,0.11,0.119,140.4,9911,4,129121,400000,0,0,1
CL-03596,COW-01798,HERD-084,1,7,0,0,0,358,232,1,3,39608,109058,125239,21759,326942,174921,80952,0.463,173862,0,42.9,57.1,14.3,0,0,38.36,30.24,0.091,0.099,272,9088,8,152026,200000,0,0,1
CL-03597,COW-01799,HERD-056,4,10,0,0,0,483,311,12,3,22359,39567,53598,15584,135442,44449,81668,1.837,81225,0,60,10,0,0,0,46.12,31.81,0.147,0.148,231.1,10045,12,35628,200000,0,0,1
CL-03598,COW-01799,HERD-083,3,8,0,0,0,392,286,4,6,39919,110110,130586,36272,269561,115251,124117,1.077,97413,0,25,50,37.5,0,0,42.34,27.56,0.132,0.149,187.4,9469,24,94995,200000,0,0,1
CL-03599,COW-01800,HERD-020,1,8,0,0,0,403,332,10,12,32544,127412,126347,32544,213880,109449,155108,1.417,136434,0,25,75,12.5,0,0,47.97,33.18,0.094,0.126,181.6,7702,1,228460,400000,0,0,1
CL-03600,COW-01800,HERD-029,4,11,0,0,0,459,268,3,5,28685,24915,32437,8903,96445,46325,26649,0.575,8903,0,72.7,0,0,0,0,50.19,39.27,0.112,0.124,216.7,11066,2,309767,400000,0,0,1
CL-03601,COW-01801,HERD-018,4,12,0,0,0,403,311,4,6,57851,70559,84537,37471,162790,63592,98849,1.554,66523,0,16.7,25,0,0,0,47.33,33.17,0.137,0.16,176.4,12385,1,350821,400000,0,0,1
CL-03602,COW-01801,HERD-024,3,9,0,0,0,423,341,2,4,37010,76996,83414,29937,175838,56157,112757,2.008,44516,0,33.3,33.3,0,0,0,29.84,20.44,0.253,0.237,162.9,11120,21,84201,200000,0,0,1
CL-03603,COW-01802,HERD-042,2,10,0,0,1,362,367,2,5,373354,331212,565446,122093,2003200,492131,479504,0.974,277055,1,0,100,90,30,10,43.31,28.27,0.176,0.156,243.8,9700,21,154102,200000,0,0,1
CL-03604,COW-01802,HERD-048,3,10,0,0,0,371,335,11,1,45755,63028,91431,45755,154173,52004,142701,2.744,139713,0,10,40,0,0,0,49.81,42,0.128,0.134,168.3,9762,20,34618,200000,0,0,1
CL-03605,COW-01803,HERD-003,2,8,0,0,1,364,299,5,7,281458,245393,226002,125439,330673,240795,226163,0.939,222378,0,0,100,62.5,0,0,43.18,32.39,0.209,0.207,189.6,9591,14,35787,200000,0,0,1
CL-03606,COW-01803,HERD-032,1,7,0,0,0,373,289,7,9,106042,87305,154005,20311,546085,128166,49152,0.384,53226,0,14.3,42.9,14.3,14.3,0,33.08,20.33,0.174,0.18,187.1,9895,22,39395,200000,0,0,1
CL-03607,COW-01804,HERD-001,3,8,0,0,0,366,291,8,10,120728,181141,206185,54273,417719,103553,231492,2.236,84977,1,0,75,50,12.5,0,37.24,29.01,0.125,0.113,238,7936,14,60284,200000,0,0,1
CL-03608,COW-01804,HERD-060,3,9,0,0,1,402,358,1,3,130703,131211,167424,65874,321194,101499,197385,1.945,232380,0,0,88.9,33.3,0,0,35,22.23,0.16,0.169,222.6,10364,13,32708,200000,0,0,1
CL-03609,COW-01805,HERD-026,4,7,0,0,1,427,287,3,6,432888,392402,372206,108107,717416,448860,383584,0.855,717416,1,0,100,71.4,42.9,0,51.63,39.47,0.143,0.134,164.8,7741,15,64955,200000,0,0,1
CL-03610,COW-01805,HERD-030,1,10,0,0,0,394,340,5,8,52630,39698,54581,20330,137665,60342,30296,0.502,29174,0,60,10,0,0,0,38.1,23.35,0.11,0.119,140.4,9911,1,60246,400000,0,0,1
CL-03611,COW-01806,HERD-035,1,10,0,0,0,330,286,12,3,22748,83084,86245,22748,168277,43391,128953,2.972,123149,0,20,30,0,0,0,32.03,24.85,0.074,0.07,164.6,9598,4,115675,400000,0,0,1
CL-03612,COW-01806,HERD-029,3,9,0,0,0,318,326,10,1,36366,20203,34089,12124,106198,23602,64384,2.728,40260,0,88.9,11.1,0,0,0,35.74,20.26,0.112,0.124,216.7,11066,23,38415,200000,0,0,1
CL-03613,COW-01807,HERD-038,3,11,0,0,0,398,342,3,5,32050,26380,22128,6714,36835,17509,31398,1.793,30979,0,100,0,0,0,0,38.87,25.75,0.182,0.143,293.6,11705,22,37808,200000,0,0,1
CL-03614,COW-01807,HERD-032,4,10,0,0,0,405,400,6,8,33311,52010,69641,22778,157687,36940,118947,3.22,49268,0,50,20,0,0,0,40.38,33.71,0.174,0.18,187.1,9895,15,73788,200000,0,0,1
CL-03615,COW-01808,HERD-084,5,8,0,0,1,437,315,7,10,129394,87137,101527,15916,254015,88771,137006,1.543,254015,0,12.5,50,12.5,0,0,39.09,28.62,0.091,0.099,272,9088,24,36739,200000,0,0,1
CL-03616,COW-01808,HERD-078,2,11,0,0,0,393,254,3,6,83866,80669,84296,34646,195621,86164,64373,0.747,73205,0,27.3,18.2,0,0,0,42.3,28.03,0.158,0.178,209.2,10363,5,97453,200000,0,0,1
CL-03617,COW-01809,HERD-006,2,12,0,0,0,359,275,3,6,78641,78769,93505,34278,252819,83552,143582,1.718,99031,0,25,33.3,8.3,0,0,36.75,21.07,0.113,0.137,191.6,10021,3,129321,400000,0,0,1
CL-03618,COW-01809,HERD-058,2,10,0,0,0,396,343,6,9,51356,40235,50692,24915,112615,38678,55255,1.429,42786,0,60,10,0,0,0,43.72,28.99,0.082,0.107,186.9,8607,28,61574,200000,0,0,1
CL-03619,COW-01810,HERD-049,1,10,0,0,0,380,313,4,7,19959,24190,28005,11075,72293,22720,39495,1.738,31848,0,90,0,0,0,0,29.93,22.77,0.153,0.163,155.7,11683,13,106422,200000,0,0,1
CL-03620,COW-01810,HERD-036,4,11,0,0,0,437,291,8,11,16311,41695,51186,16311,153616,41384,45699,1.104,19562,0,63.6,9.1,0,0,0,39.42,24.96,0.176,0.169,188.5,9939,4,131589,400000,0,0,1
CL-03621,COW-01811,HERD-071,1,10,0,0,0,383,301,6,9,456881,90980,135071,27423,456881,198640,165182,0.832,100872,0,20,50,20,10,0,37.16,15.72,0.23,0.221,174.4,10029,16,63750,200000,0,0,1
CL-03622,COW-01811,HERD-069,2,8,0,0,0,387,304,10,1,27670,28827,29764,16615,45645,24756,33413,1.35,21905,0,100,0,0,0,0,43.9,29.74,0.169,0.193,185.3,7911,14,23911,200000,0,0,1
CL-03623,COW-01812,HERD-010,3,9,0,0,0,379,292,1,4,59280,34569,52677,16046,147116,34472,89253,2.589,91251,0,66.7,11.1,0,0,0,38.72,27.66,0.193,0.186,263.5,9745,12,109124,200000,0,0,1
CL-03624,COW-01812,HERD-038,2,10,1,0,0,362,315,8,11,162864,103694,135251,75710,241942,120408,158661,1.318,,0,0,70,20,0,0,44.73,33.07,0.182,0.143,293.6,11705,11,35639,200000,0,0,1
CL-03625,COW-01813,HERD-017,2,9,0,0,0,317,282,5,8,87688,76189,68610,32838,87688,60385,64358,1.066,85721,0,22.2,0,0,0,0,42.97,40.48,0.199,0.198,189.9,10772,18,52379,200000,0,0,1
